customer,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,state,total_claim_amount,vehicle_class
RB50392,182071.5176145921,Master,none,0.0,1000.0,0.0,Personal Auto,Washington,2.704934,Four-Door Car
QZ44356,697953.59,Bachelor,F,0.0,94.0,0.0,Personal Auto,Arizona,1131.464935,Four-Door Car
AI49188,1288743.17,Bachelor,F,48767.0,108.0,0.0,Personal Auto,Nevada,566.472247,Two-Door Car
WW63253,764586.18,Bachelor,M,0.0,106.0,0.0,Corporate Auto,California,529.881344,SUV
GA49547,536307.65,High School or Below,M,36357.0,68.0,0.0,Personal Auto,Washington,17.269323,Four-Door Car
OC83172,825629.78,Bachelor,F,62902.0,69.0,0.0,Personal Auto,Oregon,159.383042,Two-Door Car
XZ87318,538089.86,College,F,55350.0,67.0,0.0,Corporate Auto,Oregon,321.6,Four-Door Car
CF85061,721610.03,Master,M,0.0,101.0,0.0,Corporate Auto,Arizona,363.02968,Four-Door Car
DY87989,2412750.4,Bachelor,M,14072.0,71.0,0.0,Corporate Auto,Oregon,511.2,Four-Door Car
BQ94931,738817.81,College,F,28812.0,93.0,0.0,Special Auto,Oregon,425.527834,Four-Door Car
SX51350,473899.2,College,M,0.0,67.0,0.0,Personal Auto,California,482.4,Four-Door Car
VQ65197,819719.71,College,none,0.0,110.0,0.0,Personal Auto,California,528.0,SUV
DP39365,879879.7,Master,none,77026.0,110.0,0.0,Corporate Auto,California,472.029737,Four-Door Car
SJ95423,881901.89,High School or Below,none,99845.0,110.0,0.0,Corporate Auto,Arizona,528.0,SUV
IL66569,538443.17,College,none,83689.0,70.0,0.0,Corporate Auto,California,307.139132,Four-Door Car
BW63560,746313.94,Bachelor,none,24599.0,64.0,0.0,Corporate Auto,Oregon,42.920271,Four-Door Car
FV94802,256686.78,High School or Below,none,25049.0,67.0,0.0,Personal Auto,Nevada,454.245098,Two-Door Car
OE15005,394524.16,College,none,28855.0,101.0,0.0,Personal Auto,Cali,647.442031,SUV
WC83389,571033.31,College,none,51148.0,72.0,0.0,Personal Auto,Oregon,308.981664,Four-Door Car
FL50705,816261.71,High School or Below,none,66140.0,101.0,0.0,Corporate Auto,California,484.8,Four-Door Car
ZK25313,287205.13,High School or Below,none,57749.0,74.0,0.0,Personal Auto,Oregon,355.2,Two-Door Car
QK46697,617710.93,Bachelor,M,61040.0,79.0,0.0,Personal Auto,Washington,20.382876,Two-Door Car
YH23384,2412750.4,Bachelor,none,14072.0,71.0,0.0,Personal Auto,Arizona,511.2,Four-Door Car
TZ98966,245019.1,Bachelor,none,0.0,73.0,0.0,Corporate Auto,Nevada,554.376763,Four-Door Car
HM55802,239210.79,Bachelor,none,17870.0,61.0,0.0,Corporate Auto,California,439.2,Four-Door Car
FS42516,580206.6,College,none,97541.0,72.0,0.0,Personal Auto,Oregon,389.185006,Four-Door Car
US89481,394637.21,Bachelor,none,0.0,111.0,0.0,Personal Auto,California,799.2,Four-Door Car
HS14476,916206.32,College,M,29723.0,80.0,0.0,Personal Auto,Washington,20.985105,Four-Door Car
GE62437,1290256.01,College,none,86584.0,111.0,0.0,Personal Auto,AZ,532.8,Four-Door Car
EJ77678,323536.05,Master,none,75690.0,80.0,0.0,Personal Auto,Oregon,384.0,Four-Door Car
SV85652,245458.35,College,none,23158.0,63.0,0.0,Personal Auto,Arizona,322.294043,Four-Door Car
UL64533,1897545.61,High School or Below,none,65999.0,237.0,0.0,Corporate Auto,Nevada,615.927769,Luxury
PF41800,471532.13,Bachelor,none,0.0,65.0,0.0,Personal Auto,California,308.15089,Four-Door Car
HD95276,473787.17,College,F,0.0,130.0,0.0,Personal Auto,Washington,23.820158,SUV
SK67821,493291.63,Bachelor,none,37260.0,62.0,0.0,Corporate Auto,Oregon,15.437681,Four-Door Car
YV55495,574422.97,High School or Below,none,68987.0,71.0,0.0,Personal Auto,Arizona,204.475147,Four-Door Car
KY38074,1389173.57,Bachelor,none,42305.0,117.0,0.0,Personal Auto,California,561.6,Four-Door Car
DM79012,738097.67,Master,none,65706.0,91.0,0.0,Personal Auto,Oregon,436.8,Four-Door Car
CM61827,309003.41,Bachelor,none,0.0,90.0,0.0,Personal Auto,Oregon,648.0,Two-Door Car
WC35801,252163.31,High School or Below,none,53243.0,66.0,0.0,Personal Auto,Arizona,157.397849,Four-Door Car
QG25316,265206.18,High School or Below,none,0.0,70.0,0.0,Corporate Auto,Nevada,484.318536,Two-Door Car
MB98372,277104.5,College,none,50071.0,71.0,0.0,Corporate Auto,Oregon,18.918935,Two-Door Car
IL19217,393900.64,Bachelor,none,60021.0,99.0,0.0,Personal Auto,California,882.871945,Four-Door Car
SR38658,1223187.97,High School or Below,none,43244.0,103.0,0.0,Personal Auto,Arizona,494.4,Luxury
YD87931,495165.61,Doctor,M,46896.0,35354.0,0.0,Personal Auto,Washington,31.707317,Four-Door Car
HG65722,1281910.29,Doctor,none,10105.0,172.0,0.0,Personal Auto,Oregon,0.517753,SUV
BU27331,446851.05,Bachelor,none,0.0,73.0,0.0,Personal Auto,Arizona,579.165954,Four-Door Car
XM45289,551434.4,High School or Below,none,23218.0,71.0,0.0,Personal Auto,Oregon,447.79344,Two-Door Car
KP34198,334387.53,Bachelor,none,0.0,92.0,0.0,Corporate Auto,California,529.624084,Four-Door Car
SH90947,229447.89,High School or Below,none,0.0,62.0,0.0,Personal Auto,Arizona,313.023175,Four-Door Car
WE95729,3670742.64,College,none,24804.0,104.0,0.0,Personal Auto,Oregon,593.830288,SUV
PY51963,3347334.95,Bachelor,none,33190.0,106.0,0.0,Corporate Auto,California,508.8,SUV
RB69909,798343.17,High School or Below,none,36014.0,69.0,0.0,Special Auto,Nevada,173.956072,Four-Door Car
NW21079,487938.48,Master,F,67163.0,61.0,0.0,Personal Auto,Washington,33.192803,Two-Door Car
FR46645,429399.73,Bachelor,none,16701.0,113.0,0.0,Personal Auto,California,831.625979,Four-Door Car
SY17488,716439.55,College,none,46623.0,91.0,0.0,Corporate Auto,Arizona,436.8,Four-Door Car
AP67935,761951.58,College,none,64749.0,64.0,0.0,Special Auto,California,302.56519,Four-Door Car
FS37417,395800.28,High School or Below,none,0.0,101.0,0.0,Personal Auto,Arizona,484.8,SUV
ML29312,449949.33,High School or Below,none,16969.0,124.0,0.0,Personal Auto,Oregon,704.768111,SUV
UB61619,405956.74,Master,none,11621.0,108.0,0.0,Personal Auto,Oregon,518.4,Four-Door Car
CD86811,445811.34,Bachelor,none,17622.0,65.0,0.0,Personal Auto,Arizona,312.0,Four-Door Car
